Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
27 Agustus 2022,22.3,0.0,13.4,16.0,14.8,12.3,12.5,PM10
28 Agustus 2022,21.5,0.0,12.9,15.2,15.2,11.3,12.0,PM10
29 Agustus 2022,22.3,0.0,13.2,16.0,14.8,12.2,12.4,PM10
30 Agustus 2022,22.3,0.0,13.2,16.2,14.8,12.4,12.6,PM10
31 Agustus 2022,22.3,0.0,13.2,16.3,14.8,12.5,12.6,PM10
01 September 2022,23.0,0.0,13.6,16.3,14.6,12.5,12.7,PM10
02 September 2022,22.3,0.0,13.4,16.3,14.6,12.7,12.6,PM10
03 September 2022,24.4,0.0,13.4,16.0,14.8,12.4,12.5,PM10
04 September 2022,23.0,0.0,12.9,15.2,15.2,11.5,12.0,PM10
05 September 2022,23.7,0.0,13.2,16.2,14.8,12.3,12.5,PM10
06 September 2022,25.9,0.0,13.4,16.3,14.8,12.5,12.7,PM10
07 September 2022,23.7,0.0,13.6,16.5,14.6,12.7,12.7,PM10
08 September 2022,24.4,0.0,13.6,16.5,14.6,12.7,12.7,PM10
09 September 2022,20.8,0.0,13.4,16.2,14.6,12.5,12.7,PM10
10 September 2022,17.2,0.0,13.4,16.0,14.8,12.3,12.6,PM10
11 September 2022,22.3,0.0,12.9,15.3,15.2,11.5,12.0,PM10
12 September 2022,23.7,0.0,13.2,16.2,14.8,12.4,12.5,PM10
13 September 2022,22.3,0.0,13.4,16.3,14.8,12.5,12.6,PM10
14 September 2022,20.8,0.0,13.6,16.5,14.6,12.7,12.7,PM10
15 September 2022,20.8,0.0,13.6,16.5,14.6,12.7,12.7,PM10
16 September 2022,20.1,0.0,13.4,16.3,14.6,12.5,12.7,PM10
17 September 2022,21.5,0.0,13.4,16.0,14.8,12.3,12.6,PM10
18 September 2022,24.4,0.0,12.9,15.3,15.2,11.6,12.0,PM10
19 September 2022,24.4,0.0,13.2,16.3,14.8,12.4,12.5,PM10
20 September 2022,24.4,0.0,13.4,16.5,14.8,12.7,12.7,PM10
21 September 2022,23.7,0.0,13.6,16.5,14.6,12.7,12.7,PM10
22 September 2022,20.8,0.0,13.6,16.5,14.6,12.7,12.7,PM10
23 September 2022,20.8,0.0,13.4,16.2,14.6,12.5,12.6,PM10
24 September 2022,25.2,0.0,13.4,16.0,14.8,12.3,12.6,PM10
25 September 2022,26.6,0.0,12.9,15.2,15.2,11.3,12.0,PM10
26 September 2022,23.7,0.0,13.2,16.2,14.8,12.4,12.5,PM10
27 September 2022,22.3,0.0,13.4,16.3,14.8,12.5,12.6,PM10
